Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified
232,Weak Authentication Scheme,Information Disclosure,AgroDirecto DFD,HTTPS,High,Not Started,,"Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",,Generated
1,Cross Site Scripting,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,HENRI\henri,The web server 'AgroDirecto Frontend' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,"Parcialmente Mitigado. La corrección definitiva requiere una refactorización del código fuente. No obstante, dada la necesidad de mantener la operatividad, se ha optado por una mitigación perimetral mediante la implementación de un WAF (Web Application Firewall) como barrera inmediata.",3/23/2026 8:22:01 PM
2,Elevation Using Impersonation,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,AgroDirecto Frontend may be able to impersonate the context of Cliente in order to gain additional privilege.,,Generated
112,Elevation by Changing the Execution Flow in AgroDirecto Frontend,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,An attacker may pass data into AgroDirecto Frontend in order to change the flow of program execution within AgroDirecto Frontend to the attacker's choosing.,,Generated
111,AgroDirecto Frontend May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,Proveedor Autorización may be able to remotely execute code for AgroDirecto Frontend.,,Generated
233,Weak Authentication Scheme,Information Disclosure,AgroDirecto DFD,HTTPS,High,Not Started,,"Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",,Generated
6,Cross Site Scripting,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,The web server 'AgroDirecto Frontend' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
7,Elevation Using Impersonation,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Mitigated,HENRI\henri,AgroDirecto Frontend may be able to impersonate the context of Agricultor in order to gain additional privilege.,"Este riesgo se considera neutralizado tras la implementación de una validación estricta de tokens de sesión en el lado del servidor (Server-Side Validation). Actualmente, el sistema no confía en las cabeceras de rol enviadas por el cliente, forzando una verificación contra la base de datos de identidad en cada petición sensible.",3/23/2026 7:59:48 PM
110,Elevation Using Impersonation,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,AgroDirecto Frontend may be able to impersonate the context of Proveedor Autorización in order to gain additional privilege.,,Generated
11,Weakness in SSO Authorization,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,HENRI\henri,Common SSO implementations such as OAUTH2 and OAUTH Wrap are vulnerable to MitM attacks.," Se ha acordado y movido al backlog la implementación de DPoP (Demonstrating Proof-of-Possession). El estado se mantiene en investigación mientras se definen los parámetros técnicos para evitar brechas en el intercambio de secretos.",3/23/2026 8:21:17 PM
12,AgroDirecto Frontend Process Memory Tampered,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,"If AgroDirecto Frontend is given access to memory, such as shared memory or pointers, or is given the ability to control what Pasarela de Pagos executes (for example, passing back a function pointer.), then AgroDirecto Frontend can tamper with Pasarela de Pagos. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
13,Elevation Using Impersonation,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,Pasarela de Pagos may be able to impersonate the context of AgroDirecto Frontend in order to gain additional privilege.,,Generated
14,Pasarela de Pagos Process Memory Tampered,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,"If Pasarela de Pagos is given access to memory, such as shared memory or pointers, or is given the ability to control what AgroDirecto Frontend executes (for example, passing back a function pointer.), then Pasarela de Pagos can tamper with AgroDirecto Frontend. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
15,Cross Site Scripting,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,The web server 'AgroDirecto Frontend' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
16,Elevation Using Impersonation,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,AgroDirecto Frontend may be able to impersonate the context of Pasarela de Pagos in order to gain additional privilege.,,Generated
